darija,phoneticTranscription,translations.english,translations.french,translations.spanish,translations.italian,translations.german,category.english,category.french,category.spanish,category.italian,category.german,scenario.english,scenario.french,scenario.spanish,scenario.italian,scenario.german,pictureLink,likes,difficulty,estimated_difficulty,__v,updatedAt,cultural_context,meaning_details,usage_contexts,related_content
السلام عليكم,Salam 3alaykum,Hello,Bonjour,Hola,Ciao,Hallo,Greetings,Salutations,Saludos,Saluti,Grüße,Greeting someone,Saluer quelqu'un,Saludando a alguien,Salutare qualcuno,Jemanden begrüßen,/images/greeting.jpg,13,intermediate,medium,0,2024-10-03T03:33:51.861Z,"{'explanation': ""The phrase 'السلام عليكم' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Greeting someone."", 'examples': [""Example in a souk (market): 'السلام عليكم' - used to ask for prices or greetings."", ""Polite interaction: 'السلام عليكم!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'السلام عليكم' is 'Hello'."", 'figurative': ""In a tourist context, it can imply 'Hello' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'السلام عليكم'."", ""Shortened form: 'الس'.""], 'similar_phrases': [""Phrases with similar intent: 'السلام عليكم or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'السلام عليكم' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'السلام عليكم'.""], 'regional_variations': [""In northern Morocco, 'السلام عليكم' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'السلام عليكم?' when asking for the menu."", ""In a taxi: 'السلام عليكم?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'السلام عليكم' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'السلام عليكم' for different intents.""], 'related_phrases': [""Phrases like 'السلام عليكم' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'السلام عليكم in context of 'Greeting someone'.""]}"
صباح الخير,Sbah l-khir,Good morning,Bonjour (matin),Buenos días,Buongiorno,Guten Morgen,Greetings,Salutations,Saludos,Saluti,Grüße,Morning greeting,Salutation matinale,Saludo matutino,Saluto mattutino,Morgengruß,/images/morning.jpg,14,intermediate,medium,0,2024-09-14T02:59:23.139Z,"{'explanation': ""The phrase 'صباح الخير' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Morning greeting."", 'examples': [""Example in a souk (market): 'صباح الخير' - used to ask for prices or greetings."", ""Polite interaction: 'صباح الخير!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'صباح الخير' is 'Good morning'."", 'figurative': ""In a tourist context, it can imply 'Good morning' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'صباح الخير'."", ""Shortened form: 'صبا'.""], 'similar_phrases': [""Phrases with similar intent: 'صباح الخير or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'صباح الخير' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'صباح الخير'.""], 'regional_variations': [""In northern Morocco, 'صباح الخير' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'صباح الخير?' when asking for the menu."", ""In a taxi: 'صباح الخير?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'صباح الخير' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'صباح الخير' for different intents.""], 'related_phrases': [""Phrases like 'صباح الخير' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'صباح الخير in context of 'Morning greeting'.""]}"
مساء الخير,Msa l-khir,Good evening,Bonsoir,Buenas tardes,Buonasera,Guten Abend,Greetings,Salutations,Saludos,Saluti,Grüße,Evening greeting,Salutation du soir,Saludo vespertino,Saluto serale,Abendgruß,/images/evening.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'مساء الخير' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Evening greeting."", 'examples': [""Example in a souk (market): 'مساء الخير' - used to ask for prices or greetings."", ""Polite interaction: 'مساء الخير!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'مساء الخير' is 'Good evening'."", 'figurative': ""In a tourist context, it can imply 'Good evening' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'مساء الخير'."", ""Shortened form: 'مسا'.""], 'similar_phrases': [""Phrases with similar intent: 'مساء الخير or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'مساء الخير' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'مساء الخير'.""], 'regional_variations': [""In northern Morocco, 'مساء الخير' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'مساء الخير?' when asking for the menu."", ""In a taxi: 'مساء الخير?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'مساء الخير' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'مساء الخير' for different intents.""], 'related_phrases': [""Phrases like 'مساء الخير' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'مساء الخير in context of 'Evening greeting'.""]}"
كيف داير؟,Kif dayr?,How are you? (masculine),Comment vas-tu ? (masculin),¿Cómo estás? (masculino),Come stai? (maschile),Wie geht es dir? (männlich),Greetings,Salutations,Saludos,Saluti,Grüße,Asking about someone's well-being,Demander des nouvelles,Preguntar por el bienestar,Chiedere come sta qualcuno,Nach dem Befinden fragen,/images/how_are_you.jpg,26,beginner,medium,0,2024-09-14T02:59:48.067Z,"{'explanation': ""The phrase 'كيف داير؟' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Asking about someone's well-being."", 'examples': [""Example in a souk (market): 'كيف داير؟' - used to ask for prices or greetings."", ""Polite interaction: 'كيف داير؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'كيف داير؟' is 'How are you? (masculine)'."", 'figurative': ""In a tourist context, it can imply 'How are you? (masculine)' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'كيف داير؟'."", ""Shortened form: 'كيف'.""], 'similar_phrases': [""Phrases with similar intent: 'كيف داير؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'كيف داير؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'كيف داير؟'.""], 'regional_variations': [""In northern Morocco, 'كيف داير؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'كيف داير؟?' when asking for the menu."", ""In a taxi: 'كيف داير؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'كيف داير؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'كيف داير؟' for different intents.""], 'related_phrases': [""Phrases like 'كيف داير؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'كيف داير؟ in context of 'Asking about someone's well-being'.""]}"
كيف دايرة؟,Kif dayra?,How are you? (feminine),Comment vas-tu ? (féminin),¿Cómo estás? (femenino),Come stai? (femminile),Wie geht es dir? (weiblich),Greetings,Salutations,Saludos,Saluti,Grüße,Asking about someone's well-being,Demander des nouvelles,Preguntar por el bienestar,Chiedere come sta qualcuno,Nach dem Befinden fragen,/images/how_are_you.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'كيف دايرة؟' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Asking about someone's well-being."", 'examples': [""Example in a souk (market): 'كيف دايرة؟' - used to ask for prices or greetings."", ""Polite interaction: 'كيف دايرة؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'كيف دايرة؟' is 'How are you? (feminine)'."", 'figurative': ""In a tourist context, it can imply 'How are you? (feminine)' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'كيف دايرة؟'."", ""Shortened form: 'كيف'.""], 'similar_phrases': [""Phrases with similar intent: 'كيف دايرة؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'كيف دايرة؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'كيف دايرة؟'.""], 'regional_variations': [""In northern Morocco, 'كيف دايرة؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'كيف دايرة؟?' when asking for the menu."", ""In a taxi: 'كيف دايرة؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'كيف دايرة؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'كيف دايرة؟' for different intents.""], 'related_phrases': [""Phrases like 'كيف دايرة؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'كيف دايرة؟ in context of 'Asking about someone's well-being'.""]}"
لاباس,Labas,I'm fine,Ça va,Estoy bien,Sto bene,Mir geht es gut,Greetings,Salutations,Saludos,Saluti,Grüße,Responding to a greeting,Répondre à une salutation,Respondiendo a un saludo,Rispondere a un saluto,Auf eine Begrüßung antworten,/images/fine.jpg,26,beginner,easy,0,2024-09-14T02:59:40.061Z,"{'explanation': ""The phrase 'لاباس' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Responding to a greeting."", 'examples': [""Example in a souk (market): 'لاباس' - used to ask for prices or greetings."", ""Polite interaction: 'لاباس!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'لاباس' is 'I'm fine'."", 'figurative': ""In a tourist context, it can imply 'I'm fine' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'لاباس'."", ""Shortened form: 'لاب'.""], 'similar_phrases': [""Phrases with similar intent: 'لاباس or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'لاباس' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'لاباس'.""], 'regional_variations': [""In northern Morocco, 'لاباس' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'لاباس?' when asking for the menu."", ""In a taxi: 'لاباس?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'لاباس' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'لاباس' for different intents.""], 'related_phrases': [""Phrases like 'لاباس' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'لاباس in context of 'Responding to a greeting'.""]}"
شكرا,Shukran,Thank you,Merci,Gracias,Grazie,Danke,Gratitude,Gratitude,Gratitud,Gratitudine,Dankbarkeit,Expressing gratitude,Exprimer sa gratitude,Expresar gratitud,Esprimere gratitudine,Dankbarkeit ausdrücken,/images/thank_you.jpg,25,beginner,easy,0,,"{'explanation': ""The phrase 'شكرا' is essential for tourists visiting Morocco, especially when navigating Gratitude situations like Expressing gratitude."", 'examples': [""Example in a souk (market): 'شكرا' - used to ask for prices or greetings."", ""Polite interaction: 'شكرا!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شكرا' is 'Thank you'."", 'figurative': ""In a tourist context, it can imply 'Thank you' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شكرا'."", ""Shortened form: 'شكر'.""], 'similar_phrases': [""Phrases with similar intent: 'شكرا or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شكرا' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شكرا'.""], 'regional_variations': [""In northern Morocco, 'شكرا' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شكرا?' when asking for the menu."", ""In a taxi: 'شكرا?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شكرا' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شكرا' for different intents.""], 'related_phrases': [""Phrases like 'شكرا' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شكرا in context of 'Expressing gratitude'.""]}"
عفاك,Afak,Please,S'il vous plaît,Por favor,Per favore,Bitte,Politeness,Politesse,Cortesía,Cortesia,Höflichkeit,Making a polite request,Faire une demande polie,Hacer una petición educada,Fare una richiesta gentile,Eine höfliche Bitte äußern,/images/please.jpg,25,beginner,easy,0,,"{'explanation': ""The phrase 'عفاك' is essential for tourists visiting Morocco, especially when navigating Politeness situations like Making a polite request."", 'examples': [""Example in a souk (market): 'عفاك' - used to ask for prices or greetings."", ""Polite interaction: 'عفاك!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'عفاك' is 'Please'."", 'figurative': ""In a tourist context, it can imply 'Please' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'عفاك'."", ""Shortened form: 'عفا'.""], 'similar_phrases': [""Phrases with similar intent: 'عفاك or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'عفاك' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'عفاك'.""], 'regional_variations': [""In northern Morocco, 'عفاك' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'عفاك?' when asking for the menu."", ""In a taxi: 'عفاك?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'عفاك' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'عفاك' for different intents.""], 'related_phrases': [""Phrases like 'عفاك' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'عفاك in context of 'Making a polite request'.""]}"
سمح لي,Smeh li,Excuse me,Excusez-moi,Disculpe,Scusi,Entschuldigung,Politeness,Politesse,Cortesía,Cortesia,Höflichkeit,Apologizing or getting attention,S'excuser ou attirer l'attention,Disculparse o llamar la atención,Scusarsi o attirare l'attenzione,Sich entschuldigen oder Aufmerksamkeit erregen,/images/excuse_me.jpg,25,beginner,easy,0,,"{'explanation': ""The phrase 'سمح لي' is essential for tourists visiting Morocco, especially when navigating Politeness situations like Apologizing or getting attention."", 'examples': [""Example in a souk (market): 'سمح لي' - used to ask for prices or greetings."", ""Polite interaction: 'سمح لي!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'سمح لي' is 'Excuse me'."", 'figurative': ""In a tourist context, it can imply 'Excuse me' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'سمح لي'."", ""Shortened form: 'سمح'.""], 'similar_phrases': [""Phrases with similar intent: 'سمح لي or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'سمح لي' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'سمح لي'.""], 'regional_variations': [""In northern Morocco, 'سمح لي' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'سمح لي?' when asking for the menu."", ""In a taxi: 'سمح لي?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'سمح لي' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'سمح لي' for different intents.""], 'related_phrases': [""Phrases like 'سمح لي' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'سمح لي in context of 'Apologizing or getting attention'.""]}"
بسلامة,Bslama,Goodbye,Au revoir,Adiós,Arrivederci,Auf Wiedersehen,Farewells,Adieux,Despedidas,Saluti di commiato,Abschiede,Saying goodbye,Dire au revoir,Despedirse,Salutare,Sich verabschieden,/images/goodbye.jpg,25,beginner,easy,0,,"{'explanation': ""The phrase 'بسلامة' is essential for tourists visiting Morocco, especially when navigating Farewells situations like Saying goodbye."", 'examples': [""Example in a souk (market): 'بسلامة' - used to ask for prices or greetings."", ""Polite interaction: 'بسلامة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بسلامة' is 'Goodbye'."", 'figurative': ""In a tourist context, it can imply 'Goodbye' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بسلامة'."", ""Shortened form: 'بسل'.""], 'similar_phrases': [""Phrases with similar intent: 'بسلامة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بسلامة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بسلامة'.""], 'regional_variations': [""In northern Morocco, 'بسلامة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بسلامة?' when asking for the menu."", ""In a taxi: 'بسلامة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بسلامة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بسلامة' for different intents.""], 'related_phrases': [""Phrases like 'بسلامة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بسلامة in context of 'Saying goodbye'.""]}"
